WKT,OBJECTID,LAENGE,RANG_SUB,SE_ANNO_CAD_DATA
"LINESTRING (16.2729407652144 48.1775864347452,16.2732931755437 48.1797916754155,16.273466718588 48.1799118707125,16.2735855798786 48.1800266040736,16.2744852683924 48.1807494245784,16.2747601798995 48.1809263531618,16.2748732288254 48.1811248408256,16.2751085083693 48.181348600539,16.2752602828 48.1816539159415,16.2752930521569 48.1817591652508)",1963795,515.42,G,
"LINESTRING (16.2770060397943 48.1837001815064,16.2763392689545 48.1842531900437,16.273240697451 48.187774657108)",1963796,533.31,E,
"LINESTRING (16.2840797183385 48.1798208043675,16.281478518983 48.1812496537812)",1963797,250.32,E,
"LINESTRING (16.281478518983 48.1812496537812,16.2807671055214 48.1816404123559,16.277755496622 48.1832396213122,16.2772102433849 48.1835657750739,16.2771598318007 48.183603688188)",1963798,414.46,E,
"LINESTRING (16.3060264443964 48.1937044977389,16.3044178446923 48.1937807650029,16.3019803068126 48.1935720323241,16.3018422346708 48.1935886557036,16.3011899722018 48.1935975955369,16.2995438620335 48.1938621367783)",1963799,487.4,E,
"LINESTRING (16.3063814995888 48.1936812796852,16.310418125169 48.1933959337632)",1963800,301.78,E,
"LINESTRING (16.310418125169 48.1933959337632,16.3109876823433 48.1933547645729,16.3132599900794 48.193021591574,16.3152073343348 48.1927806153195)",1963801,362.78,E,
"LINESTRING (16.3356935235542 48.1847989711639,16.335174036435 48.1853994216469)",1963802,77.14,E,
"LINESTRING (16.335174036435 48.1853994216469,16.3343321845852 48.1863025915636,16.3333980937142 48.1877774208048)",1963803,296.43,E,
"LINESTRING (16.3324718128533 48.1812113675659,16.3336635361627 48.1811876274514,16.3371841676899 48.1809134796616,16.3395500162007 48.180372025742)",1963804,538.19,E,
"LINESTRING (16.3395500162007 48.180372025742,16.3416880725357 48.1798826538803)",1963805,168.05,E,
"LINESTRING (16.3768228097088 48.2033020730795,16.3786178063232 48.20248093015)",1963806,161.68,E,
"LINESTRING (16.3861026494276 48.2035887802122,16.3855696089241 48.2037389862203,16.3845448594962 48.2043821754187)",1963807,147.48,E,
"LINESTRING (16.3640190758737 48.1921802277405,16.3664149848905 48.1901738532664)",1963808,285.49,E,
"LINESTRING (16.3664149848905 48.1901738532664,16.3681869632944 48.1886898356101)",1963809,211.16,E,
"LINESTRING (16.3808141699871 48.2179854359195,16.38088677022 48.2188111205156,16.3809525967841 48.218947466909)",1963810,117.78,E,
"LINESTRING (16.3791717905921 48.2125959494053,16.3798223881384 48.2137518524959,16.3802738226434 48.2155554688686,16.3808148346885 48.2168579952409,16.3808141699871 48.2179854359195)",1963811,616.34,E,
"LINESTRING (16.387392530654 48.1990682557948,16.387429555566 48.1994046213158,16.3874313420559 48.2011939770313,16.3872618201532 48.2025265524821,16.3866647154487 48.2034214943247,16.3861026494276 48.2035887802122)",1963812,539.88,E,
"LINESTRING (16.4149860925729 48.1854725692169,16.4128310737812 48.1858730130133,16.4137345241142 48.1876268341279,16.4115823099344 48.1889121407494)",1963813,587.13,G,
"LINESTRING (16.4192246823028 48.1825207858864,16.4191920767254 48.1838116732177,16.418547542037 48.1840471093709,16.418530684013 48.1844032023259,16.4177434213595 48.184765418783,16.4169454081214 48.1847916708779,16.4161885455034 48.1851423708967,16.4154848229186 48.1853409712613,16.4149860925729 48.1854725692169)",1963814,785.25,G,
"LINESTRING (16.3681869632944 48.1886898356101,16.3704640959046 48.1895678771013)",1963815,195.44,E,
"LINESTRING (16.3736138523453 48.187146905632,16.3721062382394 48.1897597675442,16.3713643242109 48.1910998356754)",1963816,470.3,E,
"LINESTRING (16.3641654805446 48.1867428240592,16.3670135833369 48.1881322406801,16.3679860463326 48.1885962744143,16.3681869632944 48.1886898356101)",1963817,369.17,E,
"LINESTRING (16.3718789284662 48.1901146787702,16.3753792532185 48.1909705522174)",1963818,277.11,E,
"LINESTRING (16.3850611793396 48.1881709098678,16.3864354086082 48.1941890292757)",1963819,676.94,G,
"LINESTRING (16.3865414849964 48.1947261725254,16.3867401993382 48.195978740182,16.3872284235625 48.1975772809459,16.387392530654 48.1990682557948)",1963820,487.71,E,
"LINESTRING (16.2732324097925 48.156202656751,16.2745404982925 48.1576135336751)",1963821,184.62,G,
